ID,str,R1,B1
5427,A,24,54
5431,A,21,82
5432,A,20,14
5434,A,10,51
5439,A,12,26
5440,A,14,15
5442,A,9,16
4445,A,8,47
5378.1,A,10,21
5378.2,A,3,6
5378.3,A,10,16
5378.4,A,5,12
5375.1,A,2,6
5375.2,A,8,18
5373,A,4,17
5451.1,A,7,25
5451.2,A,0,14
5451.3,A,0,17
5451.4,A,8,27
5451.5,A,10,61
5453.1,A,43,145
5453.2,A,0,12
5456.1,A,20,60
5456.2,A,8,10
5456.3,A,13,36
5456.4,A,4,41
5466.1,A,2,32
5469,A,29,64
5470.1,A,10,10
5470.2,A,16,42
5426,B,67,0
5433,B,27,124
5436,B,47,160
5378.5,B,20,66
5372,B,76,261
5459,B,5,195
5466.2,B,112,324
5296,C,902,123
5362,C,675,34
5355,C,453,65
5345,C,512,107
5341,C,549,0
5335,C,727,29
5307,C,853,74
5312,C,486,39
5318,C,1097,34
5323,C,908,13
